building_name,address,location,clean_location
ACADEMIC- 1,RIVERBEN 9D2 A4V0 ES,AG FIELD STAT,AG FIELD STAT
D ADMIN DBL DG,HOLTON 1R0D04 E,AG FIELD STAT,AG FIELD STAT
D RES SETRGE,HOLTON RD,AG FIELD STAT,AG FIELD STAT
DV 2801 2ND,2801 2ND STREET,AG FIELD STAT,AG FIELD STAT
GREENHS DE 2,HOLTON R10D04 E,AG FIELD STAT,AG FIELD STAT
GREENHS EL  2,CARSON 2A2V9E63,AG FIELD STAT,AG FIELD STAT
H 310 HOUSE,UNIVERSIT Y40 R7D0,AG FIELD STAT,AG FIELD STAT
H HAY BARN,UNIVERSIT 4Y0 R7D0,AG FIELD STAT,AG FIELD STAT
H SHOP,UNIVERSIT Y40 R7D0,AG FIELD STAT,AG FIELD STAT
HORSEBA RN,SCOTT 8F2O7R9B ES,AG FIELD STAT,AG FIELD STAT
I POTATO RES,139/HAVLI NHWA Y,AG FIELD STAT,AG FIELD STAT
K GRNHSE 109,RIVERBEN 9D2 A4V0 ES,AG FIELD STAT,AG FIELD STAT
K SHOP K20 1,RIVERBEN D92 A4V0 ES,AG FIELD STAT,AG FIELD STAT
L DORM 403,CARSON A76V0E1,AG FIELD STAT,AG FIELD STAT
L PUMPHSE,CARSON A22V9E63,AG FIELD STAT,AG FIELD STAT
PUMPHSE 2,OAKLAND A17V3E53 W,AG FIELD STAT,AG FIELD STAT
SC ACAD STR,IRVINE B76L0V1D,AG FIELD STAT,AG FIELD STAT
SCREENH SE,CARSON 2A2V9E63,AG FIELD STAT,AG FIELD STAT
SF COLD STR,SCOTT 8F2O7R9B ES,AG FIELD STAT,AG FIELD STAT
SHOP/STR G,139/HAVLI NHWA Y,AG FIELD STAT,AG FIELD STAT
STORAGE 2K1 4,RIVERBEN D92 A4V0 ES,AG FIELD STAT,AG FIELD STAT
STORAGE K20 4,RIVERBEN D92 A4V0 ES,AG FIELD STAT,AG FIELD STAT
WS 313 HOUSE,OAKLAND AVE,AG FIELD STAT,AG FIELD STAT
WS EQ SWTSR G 1,OAKLAND A17V3E53 W,AG FIELD STAT,AG FIELD STAT
ANTHONY,CORE CAMPUS,BERKELEY,BERKELEY
AR CT ANIMAL,WILDERNE SS LODGE,BERKELEY,BERKELEY
AR HQ HDQRTS,WILDERNE S42S0 L1ODGE,BERKELEY,BERKELEY
AR WL CABBAY,WILDERNE 4S2S0 L1ODGE,BERKELEY,BERKELEY
ART GALLERY,CORE CAMPUS,BERKELEY,BERKELEY
BG 1719 ARID,CENTENNI A18L0 D3RIVE -,BERKELEY,BERKELEY
BG 1740 SHOP,CENTENNI 2A0L0 D RIVE -,BERKELEY,BERKELEY
BG 1751 CONF,CENTENNI 2A0L0 D RIVE -,BERKELEY,BERKELEY
BOAT HOUSE,GLASCOC K STREET,BERKELEY,BERKELEY
CALIFORNI A,CORE CAMPUS,BERKELEY,BERKELEY
CHANNIN2 536,HEAD ACNONMAP LEX,BERKELEY,BERKELEY
CKC 10,KERR CALAMRPKU S,BERKELEY,BERKELEY
CKC 2,KERR CALAMRPKU S,BERKELEY,BERKELEY
CKC 8MASLACH,KERR CALAMRPKU S,BERKELEY,BERKELEY
DONNER LAB,CORE CAMPUS,BERKELEY,BERKELEY
EMERGEN ST A,PEAK & GCERNIZTZELNYNI,BERKELEY,BERKELEY
FOOTHILL 3,HEARST A27V0E0,BERKELEY,BERKELEY
FSBR 1,PEAK & CGERNIZTZELNYNI,BERKELEY,BERKELEY
FSBR 7B,PEAK & CGERNIZTZELNYNI,BERKELEY,BERKELEY
FSH 104,OHLONE 7A5V5E,BERKELEY,BERKELEY
FSH 114,GOODING W30A0Y,BERKELEY,BERKELEY
FSH 124,GOODING W73A5Y,BERKELEY,BERKELEY
FSH 134,JACKSON STREET,BERKELEY,BERKELEY
FSH 144,GOODING WAY,BERKELEY,BERKELEY
FSH 154,OHLONE AVENUE,BERKELEY,BERKELEY
FSH 164,735 WEST END WAY,BERKELEY,BERKELEY
FSH COMP TR,1125 8TH STREET,BERKELEY,BERKELEY
FSH LAUNDRY9,1125 8TH STREET,BERKELEY,BERKELEY
GILL BIOCLIM,PABLO A10V5E0  -S GAINLL,BERKELEY,BERKELEY
HAAS PAVIL,CORE CAMPUS,BERKELEY,BERKELEY
HEARST FLD A,CORE CAMPUS,BERKELEY,BERKELEY
HILGARD,CORE CAMPUS,BERKELEY,BERKELEY
HR CONF BLDG,CARMEL V38A6L0L1E EY.,BERKELEY,BERKELEY
HR MOD HSE 2,CARMEL VALLEY,BERKELEY,BERKELEY
KIOSK EAST,CORE CAMPUS,BERKELEY,BERKELEY
LEOPOLD CB,SAGEHEN R11O6A1D6,BERKELEY,BERKELEY
MCENERN EY,1750 ARCH STREET,BERKELEY,BERKELEY
MRI MODLR II,CORE 2C1A5M4P-6U0S,BERKELEY,BERKELEY
OXFORD GPB,WALNUT SHTERAEREST,BERKELEY,BERKELEY
PARKING A,AVE/SCENI C AVE,BERKELEY,BERKELEY
PIEDMON2 234,CORE CAMPUS,BERKELEY,BERKELEY
RFS 102,SOUTH 1463T01H,BERKELEY,BERKELEY
RFS 121,SOUTH 4163T01H,BERKELEY,BERKELEY
RFS 158,SOUTH 4163T01H,BERKELEY,BERKELEY
RFS 176,SOUTH 1463T01H,BERKELEY,BERKELEY
RFS 275,SOUTH 1463T01H,BERKELEY,BERKELEY
RFS 451,SOUTH 4163T01H,BERKELEY,BERKELEY
RFS 475,SOUTH 1463T01H,BERKELEY,BERKELEY
RH1 CENTRAL,DURANT AVE,BERKELEY,BERKELEY
RH2 TOWLE,2650 HASTE ST,BERKELEY,BERKELEY
RUSS BARN,HAPPY 4V9A2L7L EY,BERKELEY,BERKELEY
RUSS LEUS 20,HAPPY 4V9A2L7L EY,BERKELEY,BERKELEY
RUSS STD HSE,HAPPY V49A2L7L EY,BERKELEY,BERKELEY
SCHOOL GR,CARMEL V38A6L0L1E EY.,BERKELEY,BERKELEY
SH OSHB SERVE,SAGEHEN R11O6A1D6,BERKELEY,BERKELEY
SLOTTMA N,DURANT AVE,BERKELEY,BERKELEY
STEAM TUNNEL,CORE CAMPUS,BERKELEY,BERKELEY
STRAWBE RY RR,CORE CAMPUS,BERKELEY,BERKELEY
TANGLEW OOD H,168 HARRISON,BERKELEY,BERKELEY
UNIV H SHED,CORE CAMPUS,BERKELEY,BERKELEY
WARREN,2195 HEARST,BERKELEY,BERKELEY
ACADMC SURGE,CORE CAMPUS,DAVIS,DAVIS
AG PRC LAB,CORE CAMPUS,DAVIS,DAVIS
AG STAD E,CORE CAMPUS,DAVIS,DAVIS
AGSURP CUST,CORE CAMPUS,DAVIS,DAVIS
AH FM HAY,CORE CAMPUS,DAVIS,DAVIS
ANNL FUND TR,CORE CAMPUS,DAVIS,DAVIS
ARBORTM STOR,CORE CAMPUS,DAVIS,DAVIS
ARS H-1,CORE CAMPUS,DAVIS,DAVIS
ARS K-1,CORE CAMPUS,DAVIS,DAVIS
ARS N3,CORE CAMPUS,DAVIS,DAVIS
ARS S5,CORE CAMPUS,DAVIS,DAVIS
ARS T 13,CORE CAMPUS,DAVIS,DAVIS
ARS T 8,CORE CAMPUS,DAVIS,DAVIS
ARS TR R- 3,CORE CAMPUS,DAVIS,DAVIS
ARS X 2,CORE CAMPUS,DAVIS,DAVIS
ARS Z-2,CORE CAMPUS,DAVIS,DAVIS
ATIRC,CORE CAMPUS,DAVIS,DAVIS
BEEBIO,CORE CAMPUS,DAVIS,DAVIS
BODEGA CSF,WESTSIDE R20D99,DAVIS,DAVIS
